#CpG,Coefficient estimate (slope),Standard error,p value,Bonferroni p,q value (FDR),Gene
cpg,beta,std.err,p.value,bonferroni,fdr,gene
cg00386405,0.0006014711,0.0001037754,8.94E-09,4.24E-03,3.63E-07,ZNF536
cg26189283,-0.0008361827,0.0001442752,8.95E-09,4.24E-03,3.63E-07,SLC50A1
cg04872675,0.0007354054,0.0001268871,8.95E-09,4.24E-03,3.63E-07,NA
cg12793803,-0.0006111256,0.0001054474,8.96E-09,4.24E-03,3.63E-07,ICAM2
cg01264729,-0.0004363458,7.53E-05,8.97E-09,4.25E-03,3.63E-07,PARN
cg00211174,-0.0013038774,0.0002249898,8.97E-09,4.25E-03,3.64E-07,MCM2
cg14901243,-0.0010364262,0.0001788474,8.99E-09,4.26E-03,3.64E-07,NA
cg24313303,-0.0001984767,3.42E-05,8.99E-09,4.26E-03,3.64E-07,PIGV
cg10824354,0.0004393275,7.58E-05,9.00E-09,4.26E-03,3.64E-07,NA
cg03919650,-0.0006273185,0.0001082548,9.00E-09,4.26E-03,3.64E-07,MEFV
cg08916477,0.0006081838,0.0001049623,9.02E-09,4.28E-03,3.65E-07,Sep-01
cg15593510,0.0007909126,0.0001365084,9.05E-09,4.29E-03,3.66E-07,OR10T2
cg17786659,-0.0006787448,0.0001171557,9.07E-09,4.29E-03,3.67E-07,NA
cg15219811,-0.0010273449,0.0001773324,9.08E-09,4.30E-03,3.67E-07,ACTR1A
cg15376097,-0.0006135645,0.0001059093,9.08E-09,4.30E-03,3.67E-07,MPZL2
cg00805193,-0.0006589821,0.000113749,9.08E-09,4.30E-03,3.67E-07,SAMD10
cg03956820,-0.0007306236,0.0001261177,9.08E-09,4.30E-03,3.67E-07,SLC16A3
cg04830825,-0.0004475236,7.73E-05,9.08E-09,4.30E-03,3.67E-07,RNF220
cg02956542,-0.0010315285,0.0001780762,9.11E-09,4.32E-03,3.69E-07,PGLYRP4
cg22948959,0.0008774445,0.0001514786,9.12E-09,4.32E-03,3.69E-07,NA
cg21689902,-0.0005681315,9.81E-05,9.14E-09,4.33E-03,3.69E-07,VWA5A
cg27391816,-0.0012085013,0.0002086582,9.16E-09,4.34E-03,3.70E-07,SLC35E2
cg13396738,0.0005225278,9.02E-05,9.16E-09,4.34E-03,3.70E-07,DDR1
cg02680487,0.0006474365,0.0001117914,9.17E-09,4.35E-03,3.71E-07,DDR1
cg05461503,0.0007095152,0.0001225122,9.18E-09,4.35E-03,3.71E-07,SLC6A20
cg17184165,0.0004581837,7.91E-05,9.19E-09,4.35E-03,3.71E-07,CHDH
cg11187204,-0.0009548986,0.0001648903,9.19E-09,4.36E-03,3.72E-07,NA
cg04962541,-0.0001361026,2.35E-05,9.23E-09,4.37E-03,3.73E-07,ZMIZ2
cg22989958,-0.0008707168,0.0001503718,9.23E-09,4.37E-03,3.73E-07,DOK1
cg25823373,-0.000173004,2.99E-05,9.23E-09,4.37E-03,3.73E-07,NA
cg00719771,-0.0007259579,0.00012538,9.25E-09,4.38E-03,3.74E-07,NA
cg09429111,-0.000304978,5.27E-05,9.26E-09,4.39E-03,3.74E-07,PTPDC1
cg00412294,-0.0002129521,3.68E-05,9.29E-09,4.40E-03,3.75E-07,NEDD1
cg04039777,0.000470305,8.12E-05,9.29E-09,4.40E-03,3.75E-07,NA
cg23196831,-0.0001550571,2.68E-05,9.30E-09,4.40E-03,3.75E-07,COL14A1
cg07296256,-0.0005826581,0.0001006488,9.30E-09,4.41E-03,3.76E-07,ATP11A
cg27343684,-0.0005805687,0.00010029,9.31E-09,4.41E-03,3.76E-07,GSTA3
cg25965776,0.0005393546,9.32E-05,9.32E-09,4.41E-03,3.76E-07,SCFD2
cg12110801,-0.0010786027,0.0001863317,9.33E-09,4.42E-03,3.76E-07,NA
cg27181375,-0.0005312101,9.18E-05,9.39E-09,4.45E-03,3.79E-07,NA
cg13772414,0.0007988161,0.0001380255,9.39E-09,4.45E-03,3.79E-07,EPHA4
cg16723381,-0.0006427095,0.0001110528,9.39E-09,4.45E-03,3.79E-07,NA
cg16651552,-0.0006484261,0.0001120446,9.40E-09,4.45E-03,3.79E-07,SLC9A3
cg03022510,-0.0011006948,0.0001901959,9.41E-09,4.46E-03,3.79E-07,NA
cg08860498,0.0017629961,0.0003046407,9.41E-09,4.46E-03,3.79E-07,CNTNAP1
cg11824764,0.0003086247,5.33E-05,9.41E-09,4.46E-03,3.79E-07,RPTOR
cg03072035,-0.0008772061,0.0001515821,9.41E-09,4.46E-03,3.79E-07,NA
cg04881228,0.0005679798,9.81E-05,9.42E-09,4.46E-03,3.80E-07,NA
cg25645310,-0.0003058066,5.28E-05,9.42E-09,4.46E-03,3.80E-07,FAM160B1
cg01470340,-0.0009660203,0.0001669338,9.42E-09,4.46E-03,3.80E-07,NA
cg01804934,-0.0008514724,0.0001471435,9.43E-09,4.47E-03,3.80E-07,HLA-DPA1
cg05200313,-0.0012066409,0.0002085425,9.46E-09,4.48E-03,3.81E-07,SLC24A4
cg23723105,-0.0002326098,4.02E-05,9.49E-09,4.50E-03,3.82E-07,GADD45A
cg04674060,0.0008974425,0.0001551258,9.51E-09,4.50E-03,3.83E-07,CHD3
cg00119896,-0.0003522882,6.09E-05,9.51E-09,4.51E-03,3.83E-07,CARD11
cg03731202,-0.0003834549,6.63E-05,9.52E-09,4.51E-03,3.83E-07,NA
cg03395188,-0.0004274136,7.39E-05,9.53E-09,4.51E-03,3.84E-07,NA
cg11026555,-0.0007840429,0.0001355422,9.55E-09,4.52E-03,3.85E-07,DNAH10
cg10575075,-0.0010226557,0.0001768016,9.57E-09,4.53E-03,3.85E-07,ZNF438
cg01802713,-0.0005614634,9.71E-05,9.60E-09,4.55E-03,3.86E-07,ZBTB47
cg10587449,0.000659463,0.0001140255,9.61E-09,4.55E-03,3.87E-07,NA
cg13500720,-0.0006420174,0.0001110173,9.63E-09,4.56E-03,3.88E-07,AKAP12
cg05650238,-0.0007447101,0.000128788,9.66E-09,4.58E-03,3.89E-07,NA
cg19464524,-0.0002910908,5.03E-05,9.67E-09,4.58E-03,3.89E-07,CPEB3
cg05429448,-0.000584304,0.0001010515,9.68E-09,4.58E-03,3.89E-07,LOC152225
cg20107506,-0.0013435036,0.0002323602,9.69E-09,4.59E-03,3.90E-07,NA
cg02722808,-0.000651081,0.0001126257,9.75E-09,4.62E-03,3.92E-07,SH3PXD2A
cg20403541,-0.0002089885,3.62E-05,9.75E-09,4.62E-03,3.92E-07,RGS12
cg08363067,-0.0009252507,0.0001600524,9.75E-09,4.62E-03,3.92E-07,ABCC1
cg12081946,-0.0011041397,0.0001910007,9.76E-09,4.62E-03,3.92E-07,IL17D
cg04590170,-0.0009848462,0.0001703808,9.79E-09,4.64E-03,3.93E-07,LMO2
cg25349990,-0.0008494263,0.0001469569,9.80E-09,4.64E-03,3.94E-07,NA
cg23625388,-0.0010149247,0.0001755893,9.80E-09,4.64E-03,3.94E-07,RIN3
cg25249849,-0.0005918936,0.0001024145,9.84E-09,4.66E-03,3.95E-07,FXYD2
cg02747254,-0.00059526,0.0001029994,9.84E-09,4.66E-03,3.95E-07,KCTD13
cg14545975,-0.0004415364,7.64E-05,9.84E-09,4.66E-03,3.95E-07,RXRA
cg23948016,-0.0003812149,6.60E-05,9.85E-09,4.67E-03,3.96E-07,F2RL3
cg19931348,-0.0010883899,0.000188343,9.87E-09,4.68E-03,3.96E-07,PI3
cg08368934,-0.0009961935,0.0001724025,9.90E-09,4.69E-03,3.97E-07,GPR97
cg07406498,0.0005554788,9.61E-05,9.91E-09,4.70E-03,3.98E-07,NA
cg14578677,-0.0012713202,0.0002200273,9.91E-09,4.70E-03,3.98E-07,TLR6
cg13144783,-0.000256103,4.43E-05,9.92E-09,4.70E-03,3.98E-07,CCR1
cg20184464,0.0006754606,0.0001169138,9.95E-09,4.71E-03,3.99E-07,NA
cg17833106,-0.0010629619,0.0001839863,9.95E-09,4.71E-03,3.99E-07,PVRL4
cg19727124,-0.0004654039,8.06E-05,9.99E-09,4.73E-03,4.01E-07,PLEKHG5
cg01973920,0.0007760526,0.0001343476,1.00E-08,4.74E-03,4.01E-07,NA
cg06407843,-0.0012914806,0.0002235952,1.00E-08,4.75E-03,4.02E-07,NA
cg14669524,-0.0008341206,0.0001444139,1.00E-08,4.75E-03,4.03E-07,SPATS1
cg17256260,-0.0002264196,3.92E-05,1.01E-08,4.77E-03,4.04E-07,NA
cg21686600,0.0006018978,0.0001042181,1.01E-08,4.77E-03,4.04E-07,STPG1
cg03655330,-0.0009240352,0.0001599985,1.01E-08,4.77E-03,4.04E-07,NA
cg07959046,-0.0002492352,4.32E-05,1.01E-08,4.77E-03,4.04E-07,SDC3
cg21261158,0.0009142475,0.0001583048,1.01E-08,4.77E-03,4.04E-07,RASA3
cg18686576,-0.0006014097,0.000104139,1.01E-08,4.78E-03,4.04E-07,TMEM14C
cg18556976,-0.0010823327,0.0001874164,1.01E-08,4.78E-03,4.04E-07,NA
cg21792134,-0.0012055684,0.0002087619,1.01E-08,4.78E-03,4.05E-07,IQCB1
cg27579771,-0.001136496,0.000196804,1.01E-08,4.79E-03,4.05E-07,ARHGAP26
cg18646851,-0.0009156891,0.000158577,1.01E-08,4.80E-03,4.06E-07,NA
cg13995774,-0.0012073569,0.0002090928,1.01E-08,4.80E-03,4.06E-07,MAML1
cg16907934,-0.0006920899,0.0001198582,1.01E-08,4.80E-03,4.06E-07,FAM50B
cg22324981,0.0009173031,0.0001588764,1.02E-08,4.82E-03,4.07E-07,NFATC1
cg08063911,0.0006591013,0.0001141567,1.02E-08,4.82E-03,4.07E-07,TCF7
cg05888181,-0.0011059539,0.000191552,1.02E-08,4.82E-03,4.07E-07,KBTBD11
cg14596967,-0.0008875339,0.0001537363,1.02E-08,4.83E-03,4.08E-07,ZBTB16
cg01844514,0.0006620543,0.0001146839,1.02E-08,4.84E-03,4.09E-07,ZNF862
cg24174557,-0.0007735584,0.000134008,1.02E-08,4.85E-03,4.10E-07,VMP1
cg08932533,0.000617327,0.000106951,1.03E-08,4.86E-03,4.11E-07,NA
cg13048591,-0.0005205297,9.02E-05,1.03E-08,4.87E-03,4.11E-07,HSPB7
cg05810129,-0.0009765653,0.0001692056,1.03E-08,4.88E-03,4.12E-07,FAM107B
cg10718809,-0.0010821111,0.000187509,1.03E-08,4.89E-03,4.13E-07,PRDX5
cg22147143,-0.0003428592,5.94E-05,1.03E-08,4.90E-03,4.14E-07,NA
cg12685560,-0.0005695495,9.87E-05,1.04E-08,4.91E-03,4.14E-07,MNT
cg09162137,-0.0005049483,8.75E-05,1.04E-08,4.91E-03,4.15E-07,NA
cg10656742,-0.0004809184,8.33E-05,1.04E-08,4.91E-03,4.15E-07,TNFRSF19
cg20029201,0.0008125158,0.0001408215,1.04E-08,4.92E-03,4.16E-07,BCL9L
cg02570354,-0.0011935707,0.0002068731,1.04E-08,4.93E-03,4.16E-07,OSBPL10
cg05656900,0.0005501378,9.54E-05,1.04E-08,4.94E-03,4.17E-07,NA
cg13461622,0.0008734201,0.0001513907,1.04E-08,4.94E-03,4.17E-07,RUNX3
cg13378656,-0.000929714,0.0001611482,1.04E-08,4.94E-03,4.17E-07,NA
cg11724366,-0.0007816714,0.000135488,1.04E-08,4.94E-03,4.17E-07,FSTL3
cg11054816,-0.0010931433,0.0001894762,1.04E-08,4.94E-03,4.17E-07,BACE1
cg10502324,0.0007294744,0.0001264421,1.04E-08,4.94E-03,4.17E-07,NA
cg23051392,-0.0006971814,0.0001208479,1.04E-08,4.94E-03,4.17E-07,C1QTNF3
cg06692785,0.0006804565,0.0001179497,1.04E-08,4.95E-03,4.17E-07,KIAA1614
cg08044454,-0.0009744029,0.0001689048,1.04E-08,4.95E-03,4.17E-07,ELMO1
cg05499367,0.0006615096,0.0001146775,1.05E-08,4.96E-03,4.18E-07,TMEM26
cg00303378,0.0006514487,0.0001129379,1.05E-08,4.97E-03,4.19E-07,NA
cg06966839,-0.0009542178,0.0001654486,1.05E-08,4.99E-03,4.21E-07,MSI2
cg05478348,-0.0001230513,2.13E-05,1.05E-08,5.00E-03,4.21E-07,CAPRIN2
cg02461011,-0.00032827,5.69E-05,1.06E-08,5.00E-03,4.21E-07,NA
cg03418002,-0.0013238846,0.0002295887,1.06E-08,5.02E-03,4.23E-07,MAML3
cg20720686,-0.001109368,0.0001923903,1.06E-08,5.03E-03,4.23E-07,POR
cg19284277,-0.0007624928,0.0001322345,1.06E-08,5.03E-03,4.23E-07,SLC16A3
cg05719612,0.0008249438,0.000143076,1.06E-08,5.04E-03,4.24E-07,CACNB2
cg08181251,-0.0009906261,0.0001718122,1.06E-08,5.04E-03,4.24E-07,AVPI1
cg20071624,-0.0008493141,0.0001473065,1.06E-08,5.04E-03,4.25E-07,WIPI2
cg25146434,-0.0007714899,0.0001338127,1.07E-08,5.05E-03,4.25E-07,NA
cg02042736,-0.0004932586,8.56E-05,1.07E-08,5.05E-03,4.25E-07,NA
cg26008365,-0.0002514027,4.36E-05,1.07E-08,5.05E-03,4.25E-07,RAB13
cg11646887,-0.0001190512,2.07E-05,1.07E-08,5.06E-03,4.26E-07,SCRN2
cg01185093,-0.0005457601,9.47E-05,1.07E-08,5.06E-03,4.26E-07,SLC29A4
cg26350754,-0.000630874,0.0001094353,1.07E-08,5.07E-03,4.26E-07,HLA-DPB1
cg26280998,-0.000627223,0.0001088205,1.08E-08,5.10E-03,4.29E-07,NA
cg07879785,-0.0008819025,0.0001530193,1.08E-08,5.11E-03,4.30E-07,CRYL1
cg18362448,-0.0006002339,0.0001041478,1.08E-08,5.11E-03,4.30E-07,SSBP4
cg12165685,-0.0003808098,6.61E-05,1.08E-08,5.12E-03,4.31E-07,SLC1A5
cg07133479,0.0006318506,0.0001096405,1.08E-08,5.12E-03,4.31E-07,IMMT
cg05057534,-0.0012279018,0.0002130746,1.08E-08,5.13E-03,4.31E-07,BRE
cg09642075,-0.0006646609,0.0001153389,1.08E-08,5.13E-03,4.31E-07,PML
cg11866719,0.0007965864,0.0001382398,1.08E-08,5.14E-03,4.32E-07,RTN1
cg03280622,-0.0008285702,0.0001437944,1.09E-08,5.14E-03,4.32E-07,PLEC
cg11268834,-0.0007328086,0.0001271777,1.09E-08,5.15E-03,4.33E-07,MRPL44
cg20424311,-0.0006138419,0.0001065353,1.09E-08,5.15E-03,4.33E-07,SCOC
cg08972170,-0.0007248213,0.0001257968,1.09E-08,5.15E-03,4.33E-07,C7orf41
cg24729879,0.0008128021,0.0001410669,1.09E-08,5.16E-03,4.33E-07,IL6ST
cg21913632,0.0006764757,0.0001174083,1.09E-08,5.16E-03,4.33E-07,ADARB1
cg16411668,-0.0006264663,0.000108732,1.09E-08,5.16E-03,4.34E-07,NA
cg13750061,0.0007642069,0.0001326407,1.09E-08,5.17E-03,4.34E-07,NA
cg07930673,0.0007745314,0.000134435,1.09E-08,5.17E-03,4.34E-07,NA
cg26391219,-0.0010619432,0.0001843247,1.09E-08,5.17E-03,4.34E-07,NA
cg26819753,-0.0005117858,8.88E-05,1.09E-08,5.18E-03,4.35E-07,RGL2
cg23302989,-0.0011434053,0.0001984738,1.09E-08,5.18E-03,4.35E-07,C7orf31
cg01109135,-0.0004910597,8.52E-05,1.09E-08,5.18E-03,4.35E-07,GPR132
cg00099766,-0.0006291673,0.0001092131,1.09E-08,5.18E-03,4.35E-07,RRAGD
cg23081026,0.0005160688,8.96E-05,1.10E-08,5.19E-03,4.36E-07,NA
cg12856965,-0.0005528045,9.60E-05,1.10E-08,5.21E-03,4.37E-07,CROCC
cg17444090,-0.0012533694,0.0002176028,1.10E-08,5.21E-03,4.37E-07,NA
cg13505393,-0.0006330582,0.0001099103,1.10E-08,5.22E-03,4.37E-07,LRRC32
cg26270832,0.0007954578,0.0001381114,1.10E-08,5.22E-03,4.38E-07,SLC12A7
cg02596779,-0.0003015299,5.24E-05,1.10E-08,5.23E-03,4.39E-07,RNF130
cg10833838,0.0005396475,9.37E-05,1.11E-08,5.24E-03,4.39E-07,NA
cg23702046,-0.0010420542,0.0001809433,1.11E-08,5.24E-03,4.39E-07,TSPAN9
cg24211908,-0.000572963,9.95E-05,1.11E-08,5.26E-03,4.40E-07,GPRC5C
cg03270167,-0.0003333098,5.79E-05,1.11E-08,5.26E-03,4.41E-07,RAMP1
cg05057352,-0.0004323562,7.51E-05,1.11E-08,5.27E-03,4.42E-07,XYLT1
cg14871333,-0.0005614359,9.75E-05,1.12E-08,5.29E-03,4.43E-07,ALDH3B1
cg13287247,0.000685606,0.0001190831,1.12E-08,5.29E-03,4.43E-07,CCDC80
cg09421111,-0.0008128268,0.0001411853,1.12E-08,5.30E-03,4.44E-07,GPR56
cg12306086,-0.0008713239,0.0001513474,1.12E-08,5.30E-03,4.44E-07,TET2
cg06196379,-0.0009605081,0.0001668435,1.12E-08,5.30E-03,4.44E-07,TREM1
cg02019444,-0.0010059621,0.0001747395,1.12E-08,5.30E-03,4.44E-07,ITSN1
cg14506515,0.0007464163,0.0001296644,1.12E-08,5.31E-03,4.45E-07,FREM1
cg08675262,-0.0001749472,3.04E-05,1.12E-08,5.32E-03,4.45E-07,DRD1
cg24019054,-0.000323268,5.62E-05,1.12E-08,5.32E-03,4.45E-07,PRR5
cg07986469,-0.0010566992,0.0001835743,1.12E-08,5.32E-03,4.46E-07,PTPRE
cg03867607,-0.0005719139,9.94E-05,1.13E-08,5.33E-03,4.46E-07,MYL6
cg14591123,-0.0004913185,8.54E-05,1.13E-08,5.33E-03,4.46E-07,VILL
cg25788719,0.0006866138,0.0001193021,1.13E-08,5.35E-03,4.48E-07,HSPA12B
cg22595391,-0.0005243228,9.11E-05,1.13E-08,5.36E-03,4.49E-07,C17orf62
cg01435401,-0.0004384499,7.62E-05,1.13E-08,5.37E-03,4.49E-07,C17orf97
cg09870137,0.000537079,9.33E-05,1.13E-08,5.37E-03,4.50E-07,WNT7B
cg21442626,0.0010456208,0.0001817031,1.13E-08,5.38E-03,4.50E-07,ATP6V1C1
cg00002033,0.00105681,0.0001836484,1.13E-08,5.38E-03,4.50E-07,LRFN1
cg03690187,-0.0002416472,4.20E-05,1.14E-08,5.40E-03,4.52E-07,NA
cg00370123,-0.0005817138,0.0001011174,1.15E-08,5.43E-03,4.54E-07,C7orf50
cg00954105,0.0007727819,0.000134331,1.15E-08,5.43E-03,4.54E-07,CEP112
cg01800253,-0.000875278,0.0001521494,1.15E-08,5.43E-03,4.54E-07,PPM1F
cg24641773,-0.0001405304,2.44E-05,1.15E-08,5.44E-03,4.54E-07,FKBP1A
cg17642941,-0.000754322,0.0001311397,1.15E-08,5.45E-03,4.56E-07,NA
cg27485921,-0.0010119978,0.0001759414,1.15E-08,5.46E-03,4.56E-07,ATP6V1E2
cg09416908,-0.00128041,0.0002226076,1.15E-08,5.46E-03,4.56E-07,ME3
cg02639095,-0.0006741393,0.0001172037,1.15E-08,5.46E-03,4.56E-07,TTC39B
cg12030031,0.0006811028,0.0001184164,1.15E-08,5.46E-03,4.56E-07,NA
cg07013104,0.0004756456,8.27E-05,1.15E-08,5.46E-03,4.56E-07,PLEKHB1
cg20155035,-0.0007266856,0.0001263433,1.15E-08,5.46E-03,4.56E-07,NA
cg20708516,0.0004853311,8.44E-05,1.15E-08,5.47E-03,4.56E-07,NA
cg27004669,0.0006745028,0.0001172727,1.15E-08,5.47E-03,4.56E-07,NA
cg24807547,-0.0008951147,0.0001556347,1.16E-08,5.47E-03,4.57E-07,NA
cg21854332,-0.0010285817,0.0001788416,1.16E-08,5.47E-03,4.57E-07,PDE4DIP
cg17161520,0.0008903065,0.0001548016,1.16E-08,5.48E-03,4.57E-07,TBC1D10C
cg14397918,-0.001086162,0.0001888567,1.16E-08,5.48E-03,4.57E-07,APBA1
cg20026178,-0.0011801982,0.0002052117,1.16E-08,5.48E-03,4.57E-07,WRNIP1
cg26695387,-0.0006006096,0.0001044372,1.16E-08,5.49E-03,4.58E-07,MAP2K3
cg12749636,-0.0001734098,3.02E-05,1.16E-08,5.49E-03,4.58E-07,SEPN1
cg15751131,-0.0004782681,8.32E-05,1.16E-08,5.50E-03,4.58E-07,SLC37A3
cg05262829,0.0009134071,0.0001588406,1.16E-08,5.50E-03,4.59E-07,ITPKB
cg23634177,-0.0004239084,7.37E-05,1.16E-08,5.50E-03,4.59E-07,DDX11L2
cg14838970,-0.0006848808,0.0001191011,1.16E-08,5.50E-03,4.59E-07,PPFIBP2
cg18272538,0.0004903925,8.53E-05,1.16E-08,5.51E-03,4.59E-07,NA
cg10483817,-0.0004343754,7.55E-05,1.16E-08,5.51E-03,4.59E-07,STOX1
cg00620024,0.0006724473,0.000116944,1.16E-08,5.51E-03,4.59E-07,PPP6C
cg24119717,0.0005267273,9.16E-05,1.16E-08,5.51E-03,4.59E-07,NA
cg20948740,0.0005446858,9.47E-05,1.16E-08,5.52E-03,4.60E-07,DNMT3A
cg07609780,-0.0003900468,6.78E-05,1.17E-08,5.52E-03,4.60E-07,NA
cg01852007,-0.0003016116,5.25E-05,1.17E-08,5.53E-03,4.60E-07,FAM195A
cg04510874,-0.0002614508,4.55E-05,1.17E-08,5.53E-03,4.60E-07,FES
cg03678274,-0.0011416861,0.0001985677,1.17E-08,5.53E-03,4.61E-07,NA
cg08248600,-0.0008413294,0.0001463375,1.17E-08,5.54E-03,4.61E-07,NA
cg02330106,-0.0004998184,8.69E-05,1.17E-08,5.55E-03,4.62E-07,MGMT
cg14777574,-0.0002150755,3.74E-05,1.17E-08,5.55E-03,4.62E-07,TAF15
cg26752663,0.0008491862,0.0001477097,1.17E-08,5.55E-03,4.62E-07,ADCY3
cg26433444,-0.0002767273,4.81E-05,1.17E-08,5.55E-03,4.62E-07,PI16
cg19520452,-0.0005152483,8.96E-05,1.18E-08,5.57E-03,4.63E-07,NA
cg26426488,-0.0008415649,0.0001463999,1.18E-08,5.57E-03,4.63E-07,SLC12A9
cg24304518,-0.0006077115,0.0001057197,1.18E-08,5.57E-03,4.63E-07,POLR1B
cg04403423,0.0007695633,0.0001338929,1.18E-08,5.59E-03,4.65E-07,ATP1A1
cg02862885,-0.001081765,0.0001882162,1.18E-08,5.60E-03,4.66E-07,NA
cg22109240,-0.0006001222,0.0001044159,1.18E-08,5.60E-03,4.66E-07,KCTD18
cg11645674,-0.0004894912,8.52E-05,1.18E-08,5.60E-03,4.66E-07,BZRAP1
cg23573129,0.0008999078,0.0001565788,1.18E-08,5.60E-03,4.66E-07,TBX1
cg13870494,0.0008563573,0.0001490026,1.18E-08,5.60E-03,4.66E-07,MAMDC2
cg19769080,-0.000787425,0.0001370089,1.18E-08,5.61E-03,4.66E-07,PPM1B
cg14023451,-0.0006208859,0.0001080376,1.19E-08,5.62E-03,4.67E-07,GPLD1
cg24361265,0.0011725181,0.0002040347,1.19E-08,5.62E-03,4.67E-07,ELL3
cg13606421,0.0005656107,9.84E-05,1.19E-08,5.63E-03,4.68E-07,GALNT15
cg05653018,0.0006200195,0.0001078979,1.19E-08,5.63E-03,4.68E-07,ELF3
cg13049862,-0.0004281577,7.45E-05,1.19E-08,5.64E-03,4.68E-07,MYO1C
cg16502747,-0.0008786805,0.0001529164,1.19E-08,5.64E-03,4.69E-07,ACIN1
cg10178203,-0.0002308163,4.02E-05,1.19E-08,5.65E-03,4.69E-07,CMBL
cg14274357,-0.0003556163,6.19E-05,1.19E-08,5.65E-03,4.69E-07,AKT1
cg24663338,-0.0011328892,0.0001971776,1.19E-08,5.66E-03,4.70E-07,NA
cg25153824,0.0006479231,0.000112771,1.20E-08,5.66E-03,4.70E-07,CCDC19
cg05730092,0.0006853265,0.000119283,1.20E-08,5.67E-03,4.70E-07,BEGAIN
cg22961457,-0.0004886278,8.51E-05,1.20E-08,5.68E-03,4.71E-07,NA
cg08135379,-0.0002100871,3.66E-05,1.20E-08,5.68E-03,4.71E-07,AMIGO2
cg17477806,-0.0005799918,0.0001009603,1.20E-08,5.69E-03,4.72E-07,SEMA6B
cg17737835,-0.0006653689,0.0001158222,1.20E-08,5.69E-03,4.72E-07,CACNA2D4
cg07474797,-0.0006152608,0.0001071047,1.20E-08,5.69E-03,4.73E-07,ACSF3
cg11678864,-0.0006096735,0.0001061336,1.20E-08,5.70E-03,4.73E-07,G3BP1
cg26955845,-0.0007105002,0.0001236859,1.20E-08,5.70E-03,4.73E-07,GPR56
cg02851793,-0.0003302569,5.75E-05,1.20E-08,5.70E-03,4.73E-07,SRGN
cg02732164,0.0006324461,0.0001101104,1.21E-08,5.72E-03,4.74E-07,NA
cg09447811,-0.0010377166,0.0001806742,1.21E-08,5.72E-03,4.75E-07,CASR
cg11570656,-0.0005773504,0.0001005214,1.21E-08,5.73E-03,4.75E-07,TSC22D1
cg14219256,-0.0004732582,8.24E-05,1.21E-08,5.73E-03,4.75E-07,KAT6B
cg14916108,-0.0005650421,9.84E-05,1.21E-08,5.74E-03,4.76E-07,CACNA2D4
cg08284263,-0.0011051211,0.0001924274,1.21E-08,5.74E-03,4.76E-07,NA
cg02575483,-0.0010261532,0.0001786774,1.21E-08,5.74E-03,4.76E-07,DCBLD1
cg14684457,-0.0012937771,0.0002252836,1.21E-08,5.75E-03,4.76E-07,NFE2L3
cg10812236,-0.000624621,0.0001087647,1.21E-08,5.75E-03,4.76E-07,PLEK
cg21467365,0.0007971251,0.0001388074,1.21E-08,5.75E-03,4.77E-07,NA
cg09217079,-0.0001074861,1.87E-05,1.22E-08,5.76E-03,4.77E-07,GGTA1P
cg05249836,-0.0012293661,0.0002140811,1.22E-08,5.76E-03,4.77E-07,KIAA0930
cg06655216,0.00072199,0.0001257272,1.22E-08,5.76E-03,4.77E-07,NA
cg05438378,-0.0009517019,0.0001657317,1.22E-08,5.76E-03,4.77E-07,SMAD3
cg10126181,-0.0007179173,0.0001250204,1.22E-08,5.76E-03,4.77E-07,CASC15
cg06317209,-0.0012235113,0.0002130677,1.22E-08,5.76E-03,4.77E-07,AVIL
cg08149253,0.0004476412,7.80E-05,1.22E-08,5.78E-03,4.79E-07,FBLN1
cg23230830,-0.0011916152,0.0002075405,1.22E-08,5.79E-03,4.79E-07,LYPD8
cg24461412,-0.000289932,5.05E-05,1.23E-08,5.82E-03,4.82E-07,DHRS7
cg03388575,0.0004953267,8.63E-05,1.23E-08,5.83E-03,4.83E-07,ELFN1
cg00586383,-0.0005172173,9.01E-05,1.23E-08,5.83E-03,4.83E-07,NA
cg15009198,-0.0006233373,0.0001085928,1.23E-08,5.84E-03,4.83E-07,CNNM4
cg26137915,0.0008361065,0.000145662,1.23E-08,5.84E-03,4.83E-07,NA
cg02141675,-0.0001336676,2.33E-05,1.23E-08,5.84E-03,4.83E-07,GALNT10
cg07631359,0.0007081554,0.0001233755,1.23E-08,5.85E-03,4.84E-07,IRAK2
cg00720629,0.0008058846,0.0001404058,1.24E-08,5.85E-03,4.84E-07,TBX1
cg01627405,-0.00127217,0.0002216572,1.24E-08,5.86E-03,4.85E-07,NA
cg05989054,-0.0003847045,6.70E-05,1.24E-08,5.88E-03,4.86E-07,GAMT
cg17313269,-0.0013326879,0.0002322325,1.24E-08,5.89E-03,4.87E-07,TRIM38
cg06369322,0.0006845901,0.0001192974,1.24E-08,5.89E-03,4.87E-07,CCDC33
cg02347984,-0.0007448257,0.0001298018,1.25E-08,5.90E-03,4.88E-07,HIST1H2BD
cg24743156,-0.0010449683,0.0001821109,1.25E-08,5.91E-03,4.88E-07,CTAGE5
cg17145190,0.0003853074,6.72E-05,1.25E-08,5.92E-03,4.89E-07,NFIX
cg20543645,0.0007029807,0.000122519,1.25E-08,5.92E-03,4.89E-07,NA
cg08655953,-0.0003272954,5.70E-05,1.25E-08,5.92E-03,4.89E-07,PLCH2
cg17820065,-0.0004419011,7.70E-05,1.25E-08,5.93E-03,4.89E-07,CHD4
