#CpG,Coefficient estimate (slope),Standard error,p value,Bonferroni p,q value (FDR),Gene
cpg,beta,std.err,p.value,bonferroni,fdr,gene
cg00784009,0.0005262239,7.68E-05,1.22E-11,5.76E-06,1.45E-09,NA
cg10380221,-0.0008034632,0.0001172159,1.22E-11,5.76E-06,1.45E-09,ZNF668
cg14656043,-0.0010098274,0.0001473319,1.22E-11,5.78E-06,1.45E-09,CREM
cg17806418,0.001482447,0.000216283,1.22E-11,5.79E-06,1.45E-09,GABBR1
cg21686577,0.0007036305,0.0001026635,1.22E-11,5.79E-06,1.45E-09,SRRM3
cg17755554,-0.0012574608,0.0001834775,1.23E-11,5.81E-06,1.45E-09,NA
cg03278514,-0.0007062223,0.00010305,1.23E-11,5.82E-06,1.46E-09,NA
cg23419447,-0.0005377149,7.85E-05,1.25E-11,5.93E-06,1.48E-09,MOB2
cg13062301,-0.0002890776,4.22E-05,1.26E-11,5.95E-06,1.49E-09,PPM1H
cg26006084,0.0006263507,9.14E-05,1.26E-11,5.98E-06,1.49E-09,STK10
cg16348158,-0.000740223,0.0001080768,1.26E-11,5.98E-06,1.49E-09,PRDM16
cg20504474,-0.0006878733,0.0001004418,1.27E-11,6.02E-06,1.50E-09,NA
cg19638477,-0.0005083533,7.42E-05,1.27E-11,6.03E-06,1.51E-09,GATA2
cg06366107,-0.0004535396,6.62E-05,1.28E-11,6.06E-06,1.51E-09,ZBTB7B
cg10978799,-0.0007220814,0.0001054996,1.30E-11,6.17E-06,1.54E-09,IL10
cg16305292,0.0007609553,0.0001112295,1.33E-11,6.30E-06,1.57E-09,NA
cg06959205,-0.0007060124,0.0001032116,1.34E-11,6.33E-06,1.58E-09,CBFA2T3
cg11072113,-0.0005303382,7.75E-05,1.34E-11,6.35E-06,1.58E-09,VWCE
cg13195895,-0.0007031642,0.0001028012,1.34E-11,6.35E-06,1.58E-09,BCL9
cg11591485,0.0004854233,7.10E-05,1.35E-11,6.41E-06,1.60E-09,SLC12A8
cg05040232,-0.0002503844,3.66E-05,1.35E-11,6.42E-06,1.60E-09,GP5
cg10511467,0.0005075425,7.43E-05,1.39E-11,6.59E-06,1.64E-09,CMIP
cg06821992,-0.0009277325,0.0001357801,1.41E-11,6.68E-06,1.66E-09,NA
cg10460033,-0.0005236924,7.67E-05,1.41E-11,6.70E-06,1.67E-09,WNT7A
cg22193385,-0.0009196346,0.0001346013,1.41E-11,6.70E-06,1.67E-09,KRT7
cg11461670,-0.0006704446,9.81E-05,1.42E-11,6.71E-06,1.67E-09,PDLIM2
cg17525495,-0.0006955515,0.0001018177,1.42E-11,6.73E-06,1.67E-09,BZRAP1
cg13442016,-0.0006045811,8.85E-05,1.43E-11,6.76E-06,1.68E-09,MIR146B
cg24532083,0.0008316637,0.0001217718,1.44E-11,6.81E-06,1.69E-09,NA
cg19144497,-0.0005385924,7.89E-05,1.44E-11,6.83E-06,1.69E-09,ARID3B
cg11194994,-0.0007376655,0.0001080486,1.46E-11,6.93E-06,1.72E-09,PEA15
cg03698343,-0.0005622133,8.24E-05,1.47E-11,6.98E-06,1.73E-09,NA
cg15653855,0.0005577789,8.17E-05,1.48E-11,7.00E-06,1.73E-09,NA
cg19998289,0.0005983029,8.77E-05,1.48E-11,7.02E-06,1.74E-09,RNF34
cg16021018,-0.0008487589,0.0001243653,1.49E-11,7.04E-06,1.74E-09,CCRL2
cg18444875,-0.0011808951,0.0001730357,1.49E-11,7.04E-06,1.74E-09,OXR1
cg26562638,-0.0006932296,0.0001015988,1.50E-11,7.11E-06,1.76E-09,LEFTY2
cg19494913,-0.000278933,4.09E-05,1.50E-11,7.11E-06,1.76E-09,NA
cg20608085,0.0005806198,8.51E-05,1.52E-11,7.19E-06,1.78E-09,GYLTL1B
cg20372666,-0.0007665195,0.0001123788,1.52E-11,7.22E-06,1.78E-09,HK1
cg25096368,0.0006253616,9.17E-05,1.55E-11,7.35E-06,1.81E-09,NA
cg07283896,-0.0011998815,0.0001759958,1.56E-11,7.38E-06,1.82E-09,NA
cg22486630,0.0004811795,7.06E-05,1.58E-11,7.49E-06,1.85E-09,LPPR2
cg07056285,0.0006677844,9.80E-05,1.58E-11,7.49E-06,1.85E-09,PRDM6
cg16695380,0.0011735891,0.0001722014,1.58E-11,7.50E-06,1.85E-09,MAD2L2
cg07887168,0.0007138834,0.0001047514,1.58E-11,7.51E-06,1.85E-09,SRL
cg04655481,-0.0005186574,7.61E-05,1.59E-11,7.52E-06,1.85E-09,NA
cg24258347,0.0010250647,0.0001504327,1.59E-11,7.55E-06,1.86E-09,SPON1
cg14199150,-0.0002234987,3.28E-05,1.60E-11,7.58E-06,1.86E-09,BRD3
cg18016138,-0.0005456152,8.01E-05,1.60E-11,7.59E-06,1.87E-09,NLRP6
cg18818531,-0.0006273631,9.21E-05,1.60E-11,7.59E-06,1.87E-09,FOSL1
cg15392900,0.0005362588,7.87E-05,1.60E-11,7.59E-06,1.87E-09,MPP3
cg23120541,-0.0005923736,8.70E-05,1.62E-11,7.69E-06,1.89E-09,Sep-09
cg27292547,0.0007400807,0.0001086707,1.63E-11,7.75E-06,1.90E-09,NA
cg08457514,0.0008788868,0.0001290538,1.64E-11,7.75E-06,1.90E-09,NFIA
cg01362515,-0.0004125295,6.06E-05,1.64E-11,7.79E-06,1.91E-09,KRT17
cg09985802,-0.0012103779,0.0001777596,1.65E-11,7.81E-06,1.92E-09,LHPP
cg09063663,-0.0004806103,7.06E-05,1.65E-11,7.83E-06,1.92E-09,NA
cg19089328,0.0010583906,0.0001554819,1.67E-11,7.91E-06,1.94E-09,NADSYN1
cg24088496,-0.0008284658,0.0001217142,1.68E-11,7.94E-06,1.94E-09,MAML2
cg06945690,-0.0005413167,7.95E-05,1.69E-11,7.99E-06,1.95E-09,ZKSCAN7
cg02461269,-0.0006366471,9.35E-05,1.69E-11,7.99E-06,1.95E-09,NA
cg07599979,-0.0009078017,0.0001334096,1.70E-11,8.04E-06,1.97E-09,DSCR9
cg17679743,-0.0005441936,8.00E-05,1.70E-11,8.05E-06,1.97E-09,NA
cg19818308,0.0007857426,0.0001154896,1.71E-11,8.10E-06,1.98E-09,NA
cg18184975,0.0010153084,0.000149231,1.71E-11,8.10E-06,1.98E-09,GFRA4
cg24013589,-0.0009427299,0.0001385617,1.71E-11,8.11E-06,1.98E-09,NA
cg22777724,-0.0008475182,0.0001246032,1.73E-11,8.20E-06,2.00E-09,HOXB2
cg00311035,-0.0006248042,9.19E-05,1.75E-11,8.29E-06,2.02E-09,C7orf41
cg22946615,-0.0005397889,7.94E-05,1.77E-11,8.37E-06,2.04E-09,NA
cg15416442,0.0006383548,9.39E-05,1.77E-11,8.38E-06,2.04E-09,NA
cg01194073,0.0004104452,6.04E-05,1.77E-11,8.39E-06,2.04E-09,NA
cg06442723,-0.0009002962,0.0001324555,1.79E-11,8.46E-06,2.06E-09,CNNM3
cg23511285,-0.0007828596,0.0001151853,1.79E-11,8.49E-06,2.07E-09,GLTSCR1
cg13783238,-0.0010538268,0.0001550652,1.80E-11,8.53E-06,2.08E-09,NA
cg27577907,-0.0005182868,7.63E-05,1.80E-11,8.53E-06,2.08E-09,PEAR1
cg25027788,0.001212165,0.000178422,1.83E-11,8.67E-06,2.11E-09,VWF
cg02143404,-0.0007699639,0.0001133414,1.84E-11,8.72E-06,2.12E-09,NA
cg00504285,-0.0006245398,9.19E-05,1.84E-11,8.73E-06,2.12E-09,NA
cg27005487,0.0007564622,0.0001113929,1.86E-11,8.81E-06,2.14E-09,TBX2
cg07901253,-0.0002942392,4.33E-05,1.86E-11,8.83E-06,2.14E-09,KAZN
cg01906801,0.0007783249,0.0001146399,1.88E-11,8.91E-06,2.16E-09,MED24
cg10308810,0.0006822458,0.0001005007,1.89E-11,8.96E-06,2.17E-09,NA
cg26883033,0.0006514121,9.60E-05,1.89E-11,8.96E-06,2.17E-09,NA
cg25960854,-0.0011266293,0.0001659764,1.90E-11,9.00E-06,2.18E-09,SBNO2
cg00653615,-0.0006051112,8.92E-05,1.91E-11,9.05E-06,2.19E-09,CDC42SE1
cg11415739,-0.000605459,8.92E-05,1.91E-11,9.05E-06,2.19E-09,TRAF5
cg04258133,-0.0002265634,3.34E-05,1.91E-11,9.06E-06,2.20E-09,TNNT3
cg00064840,-0.0002148142,3.17E-05,1.93E-11,9.14E-06,2.21E-09,FOXK1
cg08942051,-0.0005884252,8.67E-05,1.94E-11,9.20E-06,2.23E-09,NA
cg05251190,-0.0008926937,0.0001315861,1.95E-11,9.22E-06,2.23E-09,MIR146B
cg10037913,-0.0001864676,2.75E-05,1.95E-11,9.22E-06,2.23E-09,NSMCE1
cg24783510,-0.0002165647,3.19E-05,1.97E-11,9.31E-06,2.25E-09,FCHO1
cg14334587,-0.0004006666,5.91E-05,1.99E-11,9.43E-06,2.28E-09,NA
cg16764848,0.0006398323,9.44E-05,1.99E-11,9.44E-06,2.28E-09,GNPNAT1
cg08168580,-0.0004579983,6.75E-05,1.99E-11,9.45E-06,2.28E-09,NA
cg23268630,0.0007038335,0.0001038136,2.00E-11,9.50E-06,2.29E-09,SPOCD1
cg12103219,-0.0003675988,5.42E-05,2.01E-11,9.53E-06,2.30E-09,PLEKHF1
cg20819617,-0.0004774196,7.04E-05,2.02E-11,9.55E-06,2.30E-09,PTK7
cg09258479,-0.0007365117,0.0001086702,2.03E-11,9.63E-06,2.32E-09,PDZK1IP1
cg08855742,-0.0004848894,7.15E-05,2.03E-11,9.64E-06,2.32E-09,PROM1
cg20893203,-0.0006295587,9.29E-05,2.05E-11,9.71E-06,2.34E-09,NA
cg14707834,-0.0005771,8.52E-05,2.05E-11,9.73E-06,2.34E-09,SIGIRR
cg06241374,0.0009643128,0.0001423478,2.08E-11,9.83E-06,2.37E-09,CCDC85A
cg16187883,-0.0003259639,4.81E-05,2.08E-11,9.84E-06,2.37E-09,TGFB3
cg05162523,-0.0004642896,6.86E-05,2.10E-11,9.94E-06,2.39E-09,RUNX3
cg02154252,0.0005866717,8.66E-05,2.11E-11,1.00E-05,2.41E-09,ELTD1
cg26482939,-0.0008467819,0.0001250592,2.12E-11,1.01E-05,2.42E-09,GNA15
cg03839949,-0.0005927862,8.76E-05,2.15E-11,1.02E-05,2.44E-09,GATA2
cg16465939,-0.0002564335,3.79E-05,2.15E-11,1.02E-05,2.45E-09,KCNQ1
cg09120934,0.0009239862,0.0001365051,2.15E-11,1.02E-05,2.45E-09,POU2F3
cg03236137,-0.0002640248,3.90E-05,2.15E-11,1.02E-05,2.45E-09,Sep-09
cg07037944,-0.0008211176,0.0001213111,2.16E-11,1.02E-05,2.45E-09,DAPK2
cg17430268,-0.0004006693,5.92E-05,2.19E-11,1.04E-05,2.49E-09,CASKIN2
cg22490254,-0.0007947355,0.0001174618,2.20E-11,1.04E-05,2.49E-09,NA
cg15144068,-0.0007269032,0.0001074448,2.21E-11,1.04E-05,2.50E-09,NA
cg12962778,0.0007608785,0.0001124693,2.21E-11,1.04E-05,2.50E-09,ZNF385A
cg08041350,0.0009623449,0.0001422677,2.22E-11,1.05E-05,2.52E-09,KSR1
cg04607412,-0.0007787256,0.000115124,2.22E-11,1.05E-05,2.52E-09,PRR5
cg16042943,-0.000847955,0.000125363,2.22E-11,1.05E-05,2.52E-09,DCAF5
cg24315421,-0.0007818166,0.0001156053,2.24E-11,1.06E-05,2.54E-09,NA
cg11036672,0.0006397909,9.46E-05,2.25E-11,1.06E-05,2.54E-09,TRMT44
cg00124095,-0.0007299097,0.0001079444,2.25E-11,1.07E-05,2.55E-09,NA
cg24371574,-0.0005570245,8.24E-05,2.26E-11,1.07E-05,2.55E-09,NA
cg06639488,-0.0004297551,6.36E-05,2.26E-11,1.07E-05,2.56E-09,EFNA1
cg23681974,-0.0006914553,0.0001022816,2.28E-11,1.08E-05,2.57E-09,PLXNA1
cg21614638,-0.000298282,4.41E-05,2.30E-11,1.09E-05,2.59E-09,DAPP1
cg06470424,-0.0003486043,5.16E-05,2.30E-11,1.09E-05,2.60E-09,CSNK1G2
cg13573513,0.0009012124,0.00013338,2.33E-11,1.11E-05,2.63E-09,ART4
cg21780393,-0.000718747,0.0001064059,2.36E-11,1.12E-05,2.67E-09,NA
cg15299233,-0.0008294071,0.0001227882,2.36E-11,1.12E-05,2.67E-09,SCAMP2
cg03140118,-0.0007163341,0.0001060534,2.37E-11,1.12E-05,2.67E-09,ZC3H12A
cg23229770,-0.0008424083,0.0001247646,2.41E-11,1.14E-05,2.71E-09,NA
cg03038262,-0.0006470652,9.58E-05,2.42E-11,1.15E-05,2.73E-09,IFITM1
cg19656486,-0.0005146989,7.62E-05,2.42E-11,1.15E-05,2.73E-09,NA
cg13805537,-0.0005812617,8.61E-05,2.46E-11,1.16E-05,2.77E-09,FAM102A
cg24821554,-0.0011250167,0.0001667109,2.47E-11,1.17E-05,2.78E-09,GUCY1B2
cg05768620,-0.0001922027,2.85E-05,2.48E-11,1.17E-05,2.79E-09,NUMA1
cg07223240,-0.0013356211,0.0001979462,2.48E-11,1.18E-05,2.79E-09,NA
cg15974931,0.0008253625,0.0001223271,2.48E-11,1.18E-05,2.79E-09,PKHD1L1
cg13523217,-0.0005141761,7.62E-05,2.49E-11,1.18E-05,2.80E-09,RALGDS
cg19674878,-0.0006486951,9.62E-05,2.52E-11,1.19E-05,2.83E-09,NA
cg01437411,-0.0003316361,4.92E-05,2.53E-11,1.20E-05,2.85E-09,ATN1
cg01604411,-0.0006047934,8.97E-05,2.54E-11,1.20E-05,2.85E-09,NA
cg13655250,-0.0007314799,0.0001084693,2.54E-11,1.20E-05,2.85E-09,RAPGEF1
cg13280041,0.0008105891,0.0001202184,2.56E-11,1.21E-05,2.87E-09,NHSL1
cg16455894,-0.0005385265,7.99E-05,2.58E-11,1.22E-05,2.89E-09,MPRIP
cg03363653,-0.0003715724,5.51E-05,2.59E-11,1.23E-05,2.90E-09,FAM211A
cg10925991,-0.0005175372,7.68E-05,2.59E-11,1.23E-05,2.90E-09,NA
cg06375292,-0.0004083884,6.06E-05,2.59E-11,1.23E-05,2.90E-09,SLC35B1
cg13478045,-0.0013303033,0.0001973777,2.61E-11,1.24E-05,2.92E-09,NA
cg19090437,-0.0006413643,9.52E-05,2.62E-11,1.24E-05,2.93E-09,TBC1D1
cg24404329,-0.0004713522,6.99E-05,2.63E-11,1.24E-05,2.94E-09,TES
cg27257822,0.0006133809,9.10E-05,2.63E-11,1.25E-05,2.94E-09,EPHB3
cg25880347,-0.0004513853,6.70E-05,2.64E-11,1.25E-05,2.95E-09,GLI4
cg16326902,0.0005696191,8.45E-05,2.64E-11,1.25E-05,2.95E-09,FAM65C
cg12030667,-0.0003631359,5.39E-05,2.64E-11,1.25E-05,2.95E-09,PLXNB1
cg24127061,-0.0006457505,9.58E-05,2.65E-11,1.26E-05,2.96E-09,PACS1
cg25551219,-0.0005707585,8.47E-05,2.67E-11,1.26E-05,2.98E-09,SBF1
cg14002328,0.000633214,9.40E-05,2.68E-11,1.27E-05,2.98E-09,DENND1A
cg21146537,-0.0009385895,0.000139341,2.68E-11,1.27E-05,2.98E-09,TOM1
cg06635797,-0.0007228745,0.0001073259,2.69E-11,1.27E-05,2.99E-09,UHRF1
cg09586191,-0.0004561341,6.77E-05,2.70E-11,1.28E-05,3.01E-09,TNFRSF4
cg17971600,-0.0005654179,8.40E-05,2.71E-11,1.28E-05,3.01E-09,RASAL3
cg19610615,-0.0005147987,7.64E-05,2.71E-11,1.28E-05,3.01E-09,NA
cg00601836,0.0012858859,0.0001909527,2.71E-11,1.28E-05,3.02E-09,ESR1
cg13934406,0.0012600256,0.0001871552,2.74E-11,1.30E-05,3.04E-09,NA
cg01348086,-0.0002530205,3.76E-05,2.74E-11,1.30E-05,3.04E-09,RGS14
cg25217772,-0.0003356366,4.99E-05,2.75E-11,1.30E-05,3.06E-09,GANAB
cg04539476,0.0004895286,7.27E-05,2.77E-11,1.31E-05,3.08E-09,REM2
cg13430819,-0.0007825225,0.0001162618,2.77E-11,1.31E-05,3.08E-09,NA
cg07276534,0.0003943198,5.86E-05,2.78E-11,1.32E-05,3.08E-09,NA
cg22679406,0.0013090898,0.0001945164,2.78E-11,1.32E-05,3.09E-09,GABBR1
cg27519828,-0.0006592985,9.80E-05,2.80E-11,1.33E-05,3.11E-09,NA
cg00152259,-0.0004069591,6.05E-05,2.80E-11,1.33E-05,3.11E-09,MRM1
cg21082028,-0.0008139593,0.0001209821,2.82E-11,1.34E-05,3.13E-09,NA
cg03487027,0.000828626,0.0001231798,2.84E-11,1.34E-05,3.15E-09,ZNF503
cg19327213,-0.0008860688,0.0001317317,2.85E-11,1.35E-05,3.16E-09,KPTN
cg06753439,-0.0006899471,0.0001025781,2.86E-11,1.35E-05,3.16E-09,B3GALT4
cg10524915,-0.0003930754,5.85E-05,2.89E-11,1.37E-05,3.19E-09,SERPINA1
cg03233624,0.001148871,0.0001708572,2.89E-11,1.37E-05,3.20E-09,MSI2
cg15349304,-0.0014568928,0.0002167288,2.93E-11,1.39E-05,3.24E-09,KIAA0125
cg14472181,-0.0007560329,0.0001124804,2.94E-11,1.39E-05,3.25E-09,BRD3
cg08180028,-0.0006712976,9.99E-05,2.96E-11,1.40E-05,3.27E-09,LTK
cg25082487,-0.0002119142,3.15E-05,2.97E-11,1.40E-05,3.27E-09,NA
cg12559685,0.0012000397,0.0001785698,2.97E-11,1.41E-05,3.28E-09,CNTNAP1
cg27125631,0.0005945693,8.85E-05,2.98E-11,1.41E-05,3.29E-09,NXPH3
cg07325820,-0.0005880834,8.75E-05,2.98E-11,1.41E-05,3.29E-09,NEIL1
cg13423389,-0.0004661139,6.94E-05,2.99E-11,1.42E-05,3.30E-09,NA
cg05641913,0.0006984598,0.0001039736,3.02E-11,1.43E-05,3.33E-09,TAC3
cg16936289,-0.0008821186,0.0001313354,3.04E-11,1.44E-05,3.35E-09,CRLF3
cg14967066,-0.0006398865,9.53E-05,3.06E-11,1.45E-05,3.37E-09,IFITM1
cg15877233,0.0006336137,9.44E-05,3.09E-11,1.46E-05,3.40E-09,C7orf10
cg11250194,-0.0008814181,0.0001312779,3.09E-11,1.46E-05,3.40E-09,FADS2
cg07346187,-0.0008335713,0.0001241583,3.10E-11,1.47E-05,3.41E-09,ZC3H12D
cg10006442,-0.0004123584,6.14E-05,3.10E-11,1.47E-05,3.41E-09,DIDO1
cg19710326,-0.0006227517,9.28E-05,3.12E-11,1.48E-05,3.42E-09,DTNB
cg15686385,0.0008205841,0.0001222417,3.12E-11,1.48E-05,3.42E-09,NA
cg17292610,0.0005123876,7.64E-05,3.19E-11,1.51E-05,3.50E-09,DUSP13
cg19393755,0.0007072247,0.0001054223,3.21E-11,1.52E-05,3.52E-09,CPSF4L
cg25938530,-0.0016223747,0.0002418724,3.23E-11,1.53E-05,3.54E-09,ITIH1
cg03052794,-0.0003687246,5.50E-05,3.24E-11,1.53E-05,3.55E-09,R3HDM4
cg10905180,-0.0015514066,0.000231337,3.25E-11,1.54E-05,3.57E-09,OR51E2
cg15918685,-0.0003151635,4.70E-05,3.27E-11,1.55E-05,3.58E-09,NA
cg04387347,-0.0010856116,0.0001619113,3.28E-11,1.55E-05,3.60E-09,ZFPM1
cg17579287,-0.0006061294,9.04E-05,3.28E-11,1.56E-05,3.60E-09,NA
cg14302936,0.0008625127,0.0001286433,3.29E-11,1.56E-05,3.60E-09,GLIPR2
cg10460350,-0.0006499621,9.69E-05,3.30E-11,1.56E-05,3.61E-09,PRPF19
cg23042148,-0.0004811684,7.18E-05,3.31E-11,1.57E-05,3.62E-09,DNMT3A
cg25343388,-0.0006687674,9.98E-05,3.31E-11,1.57E-05,3.62E-09,NA
cg23166857,-0.0004835245,7.21E-05,3.31E-11,1.57E-05,3.62E-09,TNFRSF4
cg06025456,0.0013519154,0.0002017127,3.35E-11,1.59E-05,3.66E-09,NA
cg05348871,-0.0009375353,0.0001399434,3.40E-11,1.61E-05,3.72E-09,PRR5L
cg01634388,-0.0011583661,0.0001729408,3.43E-11,1.63E-05,3.75E-09,NA
cg06122613,0.00078046,0.0001165237,3.44E-11,1.63E-05,3.76E-09,PI4KB
cg13752254,0.0004078848,6.09E-05,3.46E-11,1.64E-05,3.77E-09,SHISA7
cg03616827,-0.0014077875,0.0002102168,3.46E-11,1.64E-05,3.78E-09,ZFAT
cg11407210,0.0006485438,9.68E-05,3.47E-11,1.64E-05,3.79E-09,NA
cg08362210,-0.0002448322,3.66E-05,3.47E-11,1.64E-05,3.79E-09,MIR196B
cg17398613,0.0012089814,0.0001805966,3.52E-11,1.67E-05,3.83E-09,SLC37A1
cg26033520,-0.0008317242,0.0001242507,3.53E-11,1.67E-05,3.84E-09,NA
cg00376735,0.0008638733,0.0001290589,3.54E-11,1.68E-05,3.85E-09,LPPR2
cg02939781,-0.0011108378,0.0001659576,3.54E-11,1.68E-05,3.85E-09,KLHL6
cg05515414,-0.00064046,9.57E-05,3.54E-11,1.68E-05,3.85E-09,LOC100271836
cg20234170,-0.0003512504,5.25E-05,3.56E-11,1.69E-05,3.88E-09,CAT
cg08928958,-0.0006963431,0.000104066,3.59E-11,1.70E-05,3.90E-09,PPARGC1B
cg03051880,-0.0006592721,9.85E-05,3.59E-11,1.70E-05,3.91E-09,MAN1A1
cg11527913,-0.0017028046,0.0002545141,3.61E-11,1.71E-05,3.92E-09,GALNT2
cg06673684,0.0011936463,0.0001784418,3.64E-11,1.72E-05,3.95E-09,MCF2L
cg08692006,-0.0005453659,8.15E-05,3.65E-11,1.73E-05,3.96E-09,TNFAIP8L1
cg26799474,-0.0013171275,0.0001969291,3.66E-11,1.73E-05,3.97E-09,CASP8
cg01182697,-0.0006319247,9.45E-05,3.67E-11,1.74E-05,3.99E-09,NA
cg12332239,0.0006557277,9.81E-05,3.69E-11,1.75E-05,4.00E-09,AMZ2
cg27353619,-0.0004562368,6.82E-05,3.70E-11,1.75E-05,4.01E-09,NFIA
cg13487474,-0.0005830185,8.72E-05,3.71E-11,1.76E-05,4.02E-09,ATAD3C
cg13497903,0.0008787002,0.0001314251,3.72E-11,1.76E-05,4.03E-09,NA
cg04529938,-0.0004209188,6.30E-05,3.72E-11,1.76E-05,4.03E-09,SLC16A5
cg00412294,-0.0002757663,4.12E-05,3.73E-11,1.76E-05,4.03E-09,NEDD1
cg13300939,0.0004331301,6.48E-05,3.74E-11,1.77E-05,4.04E-09,GPR37L1
cg22580629,-0.0002458718,3.68E-05,3.74E-11,1.77E-05,4.04E-09,SUOX
cg02420027,-0.0005934981,8.88E-05,3.74E-11,1.77E-05,4.05E-09,NA
cg13427748,-0.0002879662,4.31E-05,3.75E-11,1.78E-05,4.06E-09,NA
cg23235965,-0.000782002,0.0001169812,3.77E-11,1.79E-05,4.07E-09,HLA-E
cg07238401,0.0007732942,0.0001157145,3.79E-11,1.80E-05,4.10E-09,CALCA
cg05201185,-0.0004770462,7.14E-05,3.80E-11,1.80E-05,4.10E-09,HLA-E
cg24441922,0.000867896,0.000129881,3.81E-11,1.80E-05,4.11E-09,ARL4C
cg13702222,-0.0009406166,0.0001408038,3.86E-11,1.83E-05,4.16E-09,MBNL1
cg18489994,-0.000794603,0.000119004,3.94E-11,1.87E-05,4.25E-09,NA
cg05934682,0.0009862877,0.000147785,4.02E-11,1.91E-05,4.34E-09,IL4I1
cg03867607,-0.0005120701,7.67E-05,4.04E-11,1.91E-05,4.35E-09,MYL6
cg02237342,-0.0006917613,0.0001036662,4.05E-11,1.92E-05,4.36E-09,ADORA2A
cg10328583,-0.000252659,3.79E-05,4.12E-11,1.95E-05,4.44E-09,PLEKHG5
cg00546666,-0.0005073243,7.61E-05,4.14E-11,1.96E-05,4.45E-09,ZNF335
cg06825512,0.0010814966,0.0001621559,4.14E-11,1.96E-05,4.45E-09,APCDD1
cg02645368,0.0006789502,0.0001018011,4.14E-11,1.96E-05,4.45E-09,VENTX
cg23749482,-0.0007394376,0.0001108786,4.16E-11,1.97E-05,4.47E-09,NA
cg27576259,-0.0006018638,9.03E-05,4.17E-11,1.98E-05,4.48E-09,ATP6V0C
cg21058488,0.0007600255,0.0001139762,4.17E-11,1.98E-05,4.48E-09,FAT3
cg07491676,0.0008718734,0.0001307512,4.17E-11,1.98E-05,4.48E-09,C15orf27
cg12182124,-0.0007181435,0.0001076998,4.18E-11,1.98E-05,4.49E-09,LAMA3
cg10437839,0.0006570685,9.85E-05,4.19E-11,1.98E-05,4.49E-09,PPP2R5B
cg01615339,-0.0005982865,8.97E-05,4.19E-11,1.99E-05,4.49E-09,UNKL
cg18700940,-0.0008593916,0.0001288925,4.20E-11,1.99E-05,4.50E-09,MAP3K14
cg07304483,-0.0004343847,6.52E-05,4.20E-11,1.99E-05,4.50E-09,TOLLIP
cg17378193,-0.0009608995,0.0001441622,4.25E-11,2.01E-05,4.56E-09,FBLN2
cg03631294,-0.0004725498,7.09E-05,4.25E-11,2.02E-05,4.56E-09,CD79B
cg21942490,-0.0001941048,2.91E-05,4.32E-11,2.05E-05,4.63E-09,HOXA9
cg12586150,-0.0007930758,0.0001190447,4.35E-11,2.06E-05,4.65E-09,SERPINB1
cg07797805,-0.0006007816,9.02E-05,4.35E-11,2.06E-05,4.66E-09,GINS1
cg00230183,-0.0007448085,0.0001117995,4.36E-11,2.06E-05,4.66E-09,GALNS
cg22896917,-0.0006179616,9.28E-05,4.37E-11,2.07E-05,4.67E-09,ZSCAN16
cg20401567,-0.0009967843,0.0001496395,4.37E-11,2.07E-05,4.67E-09,NA
cg05626128,-0.0006939798,0.0001042257,4.45E-11,2.11E-05,4.75E-09,IFFO2
cg06151074,-0.0006856031,0.0001029748,4.47E-11,2.12E-05,4.77E-09,ABHD16A
cg17105139,0.0008090207,0.0001215439,4.52E-11,2.14E-05,4.82E-09,NA
cg01325271,-0.0003351409,5.04E-05,4.55E-11,2.15E-05,4.85E-09,SQSTM1
cg11977605,-0.0005888811,8.85E-05,4.57E-11,2.17E-05,4.87E-09,RNF212
cg09722609,-0.0006666376,0.0001001982,4.60E-11,2.18E-05,4.91E-09,NDST1
cg10099957,-0.0005020765,7.55E-05,4.61E-11,2.18E-05,4.91E-09,SLC7A5
cg01799015,-0.0007774848,0.0001168659,4.62E-11,2.19E-05,4.92E-09,PALM
cg09025625,-0.0005255278,7.90E-05,4.65E-11,2.20E-05,4.95E-09,SHC1
cg14266527,0.0004430898,6.66E-05,4.67E-11,2.21E-05,4.97E-09,LRBA
cg19871388,0.0011584839,0.0001741832,4.67E-11,2.21E-05,4.97E-09,SALL4
cg21187669,-0.000619511,9.32E-05,4.68E-11,2.22E-05,4.98E-09,ATPAF2
cg25778892,-0.0010471373,0.0001574514,4.68E-11,2.22E-05,4.98E-09,NA
cg13003311,0.000894595,0.0001345452,4.73E-11,2.24E-05,5.03E-09,GPR98
cg16178855,-0.0005199591,7.82E-05,4.74E-11,2.24E-05,5.03E-09,PMEPA1
cg25570495,0.0007827711,0.000117742,4.76E-11,2.25E-05,5.05E-09,SALL4
cg16490823,-0.0004861666,7.31E-05,4.77E-11,2.26E-05,5.06E-09,RPS6KA2
cg21607172,-0.0008204306,0.0001234439,4.82E-11,2.28E-05,5.12E-09,FAIM3
cg09205751,-0.0005655539,8.51E-05,4.88E-11,2.31E-05,5.17E-09,NLRP6
cg13772414,0.0007863115,0.0001183371,4.88E-11,2.31E-05,5.18E-09,EPHA4
cg19734190,-0.0007433767,0.0001118883,4.89E-11,2.32E-05,5.19E-09,TBC1D14
cg18282388,-0.0009790958,0.0001473686,4.89E-11,2.32E-05,5.19E-09,TMEM45B
cg14186336,-0.0007259651,0.000109273,4.91E-11,2.33E-05,5.20E-09,GSN
cg14953730,-0.0004415505,6.65E-05,4.91E-11,2.33E-05,5.20E-09,INPP5A
