CHR,Position,CpG,Mapped Gene,Nearest Gene (10 Mb),Gene Group,Coef,SE,P,Direction
2,9144764,cg24201793,MBOAT2,MBOAT2      ,TSS1500,0.013,0.003,5.09E-07,+++++++++
16,54546090,cg07422940,,IRX3       ,,0.007,0.002,5.16E-07,++-+++-++
16,54227814,cg00647658,,FTO       ,,0.013,0.003,5.20E-07,+++++++++
21,38362754,cg09037712,HLCS,HLCS       ,TSS1500,0.008,0.002,5.26E-07,+++++++++
11,125366506,cg23366166,FEZ1,FEZ1       ,TSS1500;TSS1500,0.008,0.002,5.28E-07,+++++++++
20,45318890,cg07987148,TP53RK,TP53RK      ,TSS1500,0.01,0.002,5.29E-07,+++++++++
11,37525709,cg04821520,,C11orf74     ,,0.012,0.002,5.30E-07,+++++++++
8,1501226,cg03185622,DLGAP2,DLGAP2      ,Body,-0.005,0.001,5.33E-07,+----+---
7,92672812,cg19228034,,SAMD9      ,,0.009,0.002,5.33E-07,+++++++++
16,30710912,cg01792666,SRCAP,EAF1       ,5'UTR,-0.005,0.001,5.36E-07,---------
10,77165167,cg15182635,C10orf41,ZNF503-AS2    ,Body;Body,-0.002,0.001,5.36E-07,-----+---
17,80197360,cg10241809,SLC16A3,SLC16A3     ,3'UTR;3'UTR;3'UTR,-0.005,0.001,5.39E-07,-+-------
2,11886253,cg17211562,LPIN1,LPIN1      ,TSS1500,0.008,0.002,5.40E-07,-+++++-++
19,18945153,cg14207833,UPF1,UPF1       ,Body,-0.009,0.002,5.41E-07,--------+
10,729711,cg01022670,DIP2C,DIP2C      ,Body,0.007,0.001,5.51E-07,+++-+++++
16,89164953,cg02193283,ACSF3,ACSF3      ,Body;5'UTR;5'UTR,-0.006,0.001,5.54E-07,---------
19,1130965,cg12170787,SBNO2,SBNO2      ,Body;Body,-0.006,0.001,5.56E-07,---------
2,74148310,cg03268942,,ACTG2      ,,0.008,0.002,5.60E-07,+++-+++++
7,44163975,cg04284140,POLD2,POLD2      ,TSS1500;TSS1500,0.012,0.002,5.69E-07,+++++++++
15,73923634,cg16231923,NPTN,NPTN       ,Body;Body;Body;Body,0.011,0.002,5.74E-07,+++++++++
20,61002657,cg06154311,C20orf151,RBBP8NL     ,TSS200,0.017,0.004,5.79E-07,-++-+++++
8,1649868,cg22763586,DLGAP2,DLGAP2      ,3'UTR,-0.013,0.003,5.83E-07,------+--
16,85089777,cg07005506,KIAA0513,KIAA0513     ,5'UTR,-0.008,0.002,5.84E-07,--------+
6,43214495,cg23146472,TTBK1,TTBK1      ,Body,0.008,0.002,5.91E-07,++++++-++
11,131526811,cg15302032,NTM,NTM       ,Body,0.015,0.003,5.98E-07,+++-+++++
12,53591756,cg23029655,ITGB7,ITGB7      ,Body,0.007,0.001,6.02E-07,+++++++++
5,139492535,cg00079023,PURA,PURA       ,TSS1500,0.004,0.001,6.04E-07,+++++++++
3,26146913,cg03152121,,,,0.011,0.002,6.05E-07,++++++-++
2,66810487,cg01020413,,MEIS1      ,,0.006,0.001,6.11E-07,+++-+++++
6,30690392,cg07972954,TUBB,TUBB1      ,Body,-0.005,0.001,6.13E-07,---------
10,43697521,cg24020157,RASGEF1A,RASGEF1A     ,Body,0.011,0.002,6.13E-07,+++++++++
10,112594670,cg16704246,RBM20,RBM20      ,Body,-0.008,0.002,6.21E-07,-----+---
11,65190999,cg07985890,NEAT1,NEAT1      ,Body,-0.021,0.004,6.24E-07,-+----+--
5,405488,cg12207033,AHRR;LOC100310782,AHRR       ,Body;TSS1500,0.003,0.001,6.29E-07,+-+++++++
1,45242073,cg13985198,SNORD46;RPS8;SNORD38A,RPS8       ,TSS200;Body;TSS1500,-0.003,0.001,6.32E-07,---------
2,61292607,cg19770944,KIAA1841,KIAA1841     ,TSS1500;TSS1500,-0.003,0.001,6.34E-07,---------
2,96991753,cg15146125,ITPRIPL1,ITPRIPL1     ,Body;TSS200;TSS200;5'UTR,-0.004,0.001,6.36E-07,---------
3,33140160,cg05120113,GLB1,GLB1       ,TSS1500;TSS1500,0.01,0.002,6.40E-07,++-++++++
17,56083289,cg23960707,SFRS1,SRSF1      ,Body;Body,-0.007,0.001,6.41E-07,---------
9,136216076,cg20017995,SNORD24;SNORD36B;MED22;RPL7A;SNORD36A,RPL7A      ,TSS200;TSS1500;TSS1500;Body;TSS1500;TSS1500,-0.006,0.001,6.46E-07,---------
12,56694541,cg22775789,CS,CS        ,TSS1500,0.007,0.001,6.47E-07,+++-+++++
18,29263741,cg19203115,B4GALT6,B4GALT6     ,Body,0.008,0.002,6.49E-07,+-++++++-
15,75182130,cg13828047,MPI,MPI       ,TSS1500,-0.006,0.001,6.50E-07,---------
17,4844700,cg22628926,SLC25A11;RNF167,RNF167      ,TSS1500;Body;TSS1500;TSS1500,-0.006,0.001,6.51E-07,---------
1,92350112,cg00342358,TGFBR3,TGFBR3      ,5'UTR,-0.01,0.002,6.57E-07,---------
7,2119608,cg01119831,MAD1L1,MAD1L1      ,Body;Body;Body,-0.007,0.001,6.59E-07,---------
6,33141824,cg00936309,COL11A2,COL11A2     ,Body;Body;Body,-0.008,0.002,6.65E-07,---------
22,50632819,cg05335030,TRABD,TRABD      ,Body,-0.003,0.001,6.72E-07,---------
3,120170383,cg00091633,FSTL1,FSTL1      ,TSS1500,0.007,0.002,6.73E-07,++++++-++
11,65194965,cg12155547,,NEAT1      ,,-0.01,0.002,6.83E-07,---------
1,2458466,cg17128799,PANK4,PANK4      ,TSS1500,0.007,0.001,6.83E-07,+++++--++
7,27253834,cg12187687,,HOTTIP      ,,-0.012,0.002,6.84E-07,---+-----
6,41903172,cg17159550,CCND3,CCND3      ,3'UTR;3'UTR;3'UTR;3'UTR,-0.004,0.001,6.87E-07,------+--
6,28493500,cg11562153,GPX5,GPX5       ,TSS1500;TSS1500,-0.009,0.002,6.88E-07,---------
18,47018095,cg01017464,SNORD58A;SNORD58B;RPL17,RPL17      ,TSS1500;Body;5'UTR;5'UTR,-0.004,0.001,6.97E-07,--??-+---
14,74211788,cg01731783,C14orf43,ELMSAN1     ,5'UTR;5'UTR,-0.007,0.002,7.00E-07,---------
11,86508399,cg19563365,,PRSS23      ,,0.005,0.001,7.00E-07,++++++-++
11,2011312,cg07397493,LOC100133545,,TSS200,-0.007,0.002,7.03E-07,---------
1,9775985,cg11947782,PIK3CD,PIK3CD      ,Body,-0.008,0.002,7.03E-07,---------
10,76573396,cg04359418,,KAT6B      ,,0.01,0.002,7.13E-07,++++++-++
11,2011341,cg04859117,LOC100133545,,TSS200,-0.005,0.001,7.14E-07,---------
1,68299468,cg13399816,GNG12,GNG12      ,TSS1500,-0.006,0.001,7.14E-07,--------+
5,159625590,cg00259472,FABP6,FABP6      ,5'UTR;TSS1500,0.006,0.001,7.16E-07,++++++-++
7,27143585,cg09908750,HOXA2,HOXA2      ,TSS1500,-0.007,0.002,7.19E-07,--------+
16,22103596,cg02843201,VWA3A,VWA3A      ,TSS1500,0.006,0.001,7.21E-07,-+++++-++
5,502291,cg14137381,SLC9A3,SLC9A3      ,Body,-0.022,0.004,7.21E-07,---------
19,5691899,cg00815325,LONP1,LONP1      ,3'UTR,-0.005,0.001,7.25E-07,---------
4,1241188,cg03008339,CTBP1,CTBP1      ,Body;5'UTR,-0.003,0.001,7.30E-07,---------
17,56306697,cg18324432,,LPO       ,,0.007,0.001,7.31E-07,+++++++++
14,23306974,cg10576725,MMP14,MMP14      ,Body,0.006,0.001,7.32E-07,++++-++++
3,141087190,cg13029400,ZBTB38,ZBTB38      ,5'UTR,0.012,0.002,7.33E-07,+++++++++
1,28051771,cg02905426,FAM76A,FAM76A      ,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,0.006,0.001,7.34E-07,+++++++++
6,41376993,cg21024112,,NCR2       ,,0.008,0.002,7.50E-07,+++++++++
12,31402470,cg14788046,,FAM60A      ,,0.011,0.002,7.55E-07,++++++++-
11,46939436,cg18332754,LRP4,LRP4       ,Body,-0.002,0,7.55E-07,-----+--+
11,19745484,cg04039799,NAV2,NAV2       ,Body;Body;Body,-0.009,0.002,7.56E-07,--------+
1,203273693,cg00567854,BTG2,,TSS1500,-0.006,0.001,7.65E-07,----+----
15,65394414,cg13985132,LOC390595,,Body,0.014,0.003,7.65E-07,++++++-++
5,10563092,cg24718827,ANKRD33B,ANKRD33B     ,TSS1500,0.004,0.001,7.73E-07,++-+++-++
1,25349681,cg27537125,,RUNX3      ,,-0.004,0.001,7.85E-07,-----+---
3,159557552,cg25705519,SCHIP1,IQCJ-SCHIP1   ,Body,0.012,0.003,7.90E-07,+++++++++
6,166259959,cg17586885,,LINC00473    ,,-0.008,0.002,7.91E-07,---------
13,29192851,cg19118519,,POMP       ,,0.011,0.002,7.91E-07,+++++++++
17,40913702,cg04522003,LOC100190938;RAMP2,RAMP2      ,TSS1500;Body;TSS1500,0.01,0.002,7.97E-07,+++++++++
2,235403218,cg15016771,ARL4C,ARL4C      ,3'UTR;1stExon,0.013,0.003,7.98E-07,+++++++++
8,106437825,cg22202929,ZFPM2,ZFPM2      ,Body,0.011,0.002,7.98E-07,++++++++-
2,235529129,cg07653326,,ARL4C      ,,0.017,0.004,8.04E-07,++++++-++
17,56297360,cg15648345,MKS1,MKS1       ,TSS1500;TSS1500,0.011,0.002,8.06E-07,+++++++++
6,33141696,cg04499015,COL11A2,COL11A2     ,Body;Body;Body,-0.006,0.001,8.12E-07,---------
8,144069888,cg20307074,LOC100133669,LOC100133669   ,Body,-0.009,0.002,8.12E-07,--?------
17,8059012,cg04055490,,PER1       ,,-0.008,0.002,8.16E-07,---------
1,32281460,cg22169053,SPOCD1,SPOCD1      ,5'UTR,0.006,0.001,8.23E-07,+++-+++++
1,1365911,cg04865726,,TMEM88B     ,,0.012,0.002,8.24E-07,++++-+-++
1,6267579,cg19694465,RNF207,RNF207      ,Body,0.011,0.002,8.26E-07,-++++++++
6,41567658,cg21164975,FOXP4,FOXP4      ,3'UTR;3'UTR;3'UTR,-0.011,0.002,8.26E-07,+--------
15,31624584,cg07814318,KLF13,KLF13      ,Body,-0.009,0.002,8.27E-07,---------
17,47590237,cg12561474,NGFR,NGFR       ,Body,0.005,0.001,8.28E-07,-++++++++
11,2722407,cg26963277,KCNQ1OT1;KCNQ1,KCNQ1      ,TSS1500;Body;Body,-0.004,0.001,8.30E-07,---------
8,22223985,cg25257677,SLC39A14,SLC39A14     ,TSS1500;TSS1500;TSS1500;TSS1500,0.011,0.002,8.36E-07,++++++-++
2,25897613,cg26179134,DTNB,DTNB       ,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,0.011,0.002,8.37E-07,+++++++++
2,204486921,cg11028872,,CD28       ,,0.013,0.003,8.44E-07,++++++++-
5,522363,cg02354563,SLC9A3,SLC9A3      ,Body,0.012,0.003,8.53E-07,++++-++++
15,72598286,cg25939371,BRUNOL6,CELF6      ,Body,0.008,0.002,8.53E-07,-+++++++-
19,14545201,cg13922488,PKN1,PKN1       ,Body,-0.005,0.001,8.63E-07,--------+
5,10562978,cg14629055,ANKRD33B,ANKRD33B     ,TSS1500,0.006,0.001,8.70E-07,+++++++++
17,79827882,cg06457408,ARHGDIA,ARHGDIA     ,5'UTR,-0.005,0.001,8.71E-07,---------
1,182922427,cg01079738,C1orf14,SHCBP1L     ,1stExon;5'UTR,0.012,0.002,8.75E-07,+++++++++
10,1704969,cg16736679,ADARB2,ADARB2      ,Body,-0.008,0.002,8.80E-07,---------
17,47286719,cg01833923,GNGT2;ABI3,GNGT2      ,1stExon;TSS1500;TSS1500;5'UTR,-0.007,0.001,8.83E-07,---------
4,77173197,cg01520956,FAM47E,FAM47E      ,Body,0.011,0.002,8.96E-07,+++++++++
7,127911866,cg01745789,,LEP       ,,0.012,0.002,9.05E-07,-+++++-++
1,40041131,cg07478773,PABPC4,PABPC4      ,Body;Body;Body,-0.003,0.001,9.07E-07,---------
4,176892927,cg10523370,GPM6A,GPM6A      ,5'UTR;Body,0.007,0.002,9.15E-07,++++++-++
13,114887369,cg24226219,RASA3,RASA3      ,Body,-0.006,0.001,9.16E-07,---------
7,100887239,cg18158419,FIS1,FIS1       ,Body,-0.007,0.001,9.21E-07,-+-------
17,75390097,cg20796999,09-Sep,09-Sep,5'UTR;5'UTR;Body;Body;Body,-0.005,0.001,9.24E-07,---------
12,119740840,cg15238694,LOC144742,,Body,-0.01,0.002,9.27E-07,--------+
7,75957902,cg13720395,YWHAG,YWHAG      ,3'UTR,-0.01,0.002,9.29E-07,+--------
8,144652049,cg24467290,C8orf73,MROH6      ,Body,0.006,0.001,9.32E-07,-++++++++
9,133568226,cg14552982,EXOSC2,EXOSC2      ,TSS1500,0.015,0.003,9.34E-07,+++++++++
16,1149424,cg27589814,,C1QTNF8     ,,-0.005,0.001,9.35E-07,---------
5,134823969,cg12828729,,TIFAB      ,,0.005,0.001,9.38E-07,+++++++++
5,672845,cg22879098,TPPP,TPPP       ,Body,-0.018,0.004,9.38E-07,---------
17,7306613,cg11104712,C17orf61,TMEM256     ,Body,-0.005,0.001,9.47E-07,---------
1,147718540,cg17442776,,NBPF11      ,,0.007,0.002,9.47E-07,++??++?++
21,30365886,cg17756483,RNF160,LTN1       ,TSS1500,0.008,0.002,9.47E-07,--+++++++
19,23387068,cg23372544,,ZNF91      ,,0.006,0.001,9.49E-07,+++++++++
3,75704824,cg10989214,,,,0.024,0.005,9.52E-07,++??++?++
10,11379739,cg07796597,,CELF2      ,,-0.008,0.002,9.56E-07,---------
1,174843909,cg05702218,RABGAP1L,RABGAP1L     ,TSS1500;Body,0.012,0.003,9.58E-07,+++++++++
16,18800193,cg00530414,RPS15A,RPS15A      ,Body;Body,-0.008,0.002,9.62E-07,-+-------
17,61774794,cg09121543,LIMD2,LIMD2      ,3'UTR,-0.01,0.002,9.74E-07,---------
22,50684054,cg01215339,HDAC10;TUBGCP6,HDAC10      ,Body;TSS1500;Body,-0.004,0.001,9.85E-07,-----+---
6,150254424,cg09037894,,ULBP2      ,,0.012,0.003,9.92E-07,++??+++++
17,15849556,cg07563400,ADORA2B,ADORA2B     ,Body,0.006,0.001,9.96E-07,++++++-++
19,12776725,cg11621113,MORG1;MAN2B1,MAN2B1      ,TSS1500;TSS1500;Body,-0.006,0.001,9.96E-07,-----+--+
1,25257626,cg13106389,RUNX3,RUNX3      ,TSS1500;Body,-0.006,0.001,1.00E-06,---------
11,85646010,cg03102841,,CCDC83      ,,0.007,0.002,1.01E-06,+++++++++
15,48470794,cg05243389,MYEF2,MYEF2      ,TSS1500,0.008,0.002,1.01E-06,++++++-++
1,2984218,cg06991974,FLJ42875,,Body;Body,-0.004,0.001,1.01E-06,--------+
16,67450719,cg10281889,ZDHHC1,ZDHHC1      ,TSS1500,-0.006,0.001,1.01E-06,---------
10,88428247,cg18286285,LDB3,LDB3       ,TSS200;TSS200;1stExon;TSS200;5'UTR;TSS200;TSS200,0.008,0.002,1.01E-06,+++++++++
17,75422925,cg06622199,09-Sep,09-Sep,Body;Body;Body;Body;Body,-0.007,0.001,1.02E-06,---------
16,89642914,cg16616467,CPNE7,CPNE7      ,Body;Body,0.015,0.003,1.02E-06,+++-+++++
12,54413101,cg00567703,HOXC4;HOXC5;HOXC6,HOXC4      ,5'UTR;Body;5'UTR,0.014,0.003,1.04E-06,+++++++++
7,2119340,cg07065756,MAD1L1,MAD1L1      ,Body;Body;Body,-0.007,0.002,1.04E-06,---------
12,133120548,cg14078579,FBRSL1,FBRSL1      ,Body,-0.011,0.002,1.04E-06,------+--
6,55767865,cg16728651,,BMP5       ,,-0.01,0.002,1.05E-06,---------
16,85608058,cg00835825,,GSE1       ,,0.005,0.001,1.06E-06,+++++++++
7,44795713,cg03552937,ZMIZ2,ZMIZ2      ,TSS200;5'UTR,-0.006,0.001,1.06E-06,---------
17,47590179,cg06943627,NGFR,NGFR       ,Body,0.007,0.001,1.06E-06,+++++-+++
10,34955525,cg06271128,PARD3,PARD3      ,Body,-0.006,0.001,1.07E-06,---------
12,54019307,cg04404543,ATF7,ATF7       ,5'UTR;5'UTR,-0.006,0.001,1.08E-06,-+-------
7,1035363,cg07249149,,C7orf50     ,,-0.009,0.002,1.08E-06,-+---++--
12,58132558,cg08425810,AGAP2,AGAP2      ,TSS1500;Body,0.019,0.004,1.08E-06,+++-+++++
19,7986206,cg14074174,SNAPC2,SNAPC2      ,Body;Body,-0.005,0.001,1.08E-06,-----++--
4,81118188,cg03463411,PRDM8,PRDM8      ,TSS1500;5'UTR,-0.014,0.003,1.09E-06,------+--
17,52978856,cg06374748,TOM1L1,TOM1L1      ,Body,0.008,0.002,1.09E-06,+++++++++
5,68180149,cg11646762,,SLC30A5     ,,-0.01,0.002,1.09E-06,--------+
12,54144521,cg13839439,,CALCOCO1     ,,0.009,0.002,1.09E-06,+++++++++
10,120968739,cg14351425,GRK5,GRK5       ,Body,0.007,0.002,1.09E-06,+-+-+++++
12,117042917,cg10665891,,MAP1LC3B2    ,,0.018,0.004,1.10E-06,+++++++++
1,211643515,cg05352688,,RD3       ,,0.005,0.001,1.13E-06,+++++++++
2,218886643,cg24166100,,RUFY4      ,,-0.007,0.002,1.13E-06,------+--
11,65194989,cg23523668,,NEAT1      ,,-0.009,0.002,1.14E-06,-+-------
6,7698374,cg17951878,,BMP6       ,,0.013,0.003,1.15E-06,+++++++++
10,129949004,cg17401780,,MKI67      ,,0.006,0.001,1.16E-06,+++-+++++
7,120591397,cg01687864,ING3,ING3       ,Body;Body,-0.002,0,1.17E-06,-----+---
3,53916982,cg20879770,ACTR8,ACTR8      ,TSS1500,0.007,0.001,1.17E-06,+++++++++
1,10728270,cg01515508,CASZ1,CASZ1      ,Body;Body,-0.008,0.002,1.18E-06,---------
2,183291758,cg16451324,PDE1A,PDE1A      ,Body;Body,-0.008,0.002,1.18E-06,------+-+
19,49658532,cg20249839,HRC,HRC       ,5'UTR;1stExon,0.006,0.001,1.18E-06,+++++++++
6,152130332,cg00601836,ESR1,ESR1       ,Body;Body;Body;Body,-0.014,0.003,1.19E-06,-++------
1,111890580,cg16244690,C1orf88,PIFO       ,Body,0.005,0.001,1.19E-06,++++++++-
10,43891547,cg04641860,HNRNPF,HNRNPF      ,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,-0.01,0.002,1.20E-06,---------
16,31159704,cg14301190,PRSS36,PRSS36      ,Body,0.01,0.002,1.20E-06,+++++++++
6,32118811,cg16040614,PRRT1,PRRT1      ,Body,0.007,0.001,1.20E-06,+++-+++++
17,46682394,cg18684142,LOC404266;HOXB6,,Body;Body;TSS200,0.021,0.004,1.21E-06,+++++++++
10,135010532,cg01258050,KNDC1,KNDC1      ,Body,-0.009,0.002,1.22E-06,-----+---
19,46286683,cg10857774,DMPK;DMWD,DMWD       ,TSS1500;TSS1500;TSS1500;3'UTR,-0.009,0.002,1.22E-06,---------
7,5536937,cg03040622,MIR589;FBXL18,FBXL18      ,TSS1500;Body,-0.007,0.001,1.23E-06,---------
16,30573013,cg05308504,,ZNF764      ,,0.011,0.002,1.23E-06,+++++++++
14,71022823,cg19730268,,ADAM20      ,,0.008,0.002,1.24E-06,+++++++++
6,30690213,cg06005318,TUBB,TUBB1      ,Body,-0.005,0.001,1.26E-06,---------
6,152126938,cg17264271,ESR1,ESR1       ,5'UTR;1stExon;5'UTR,-0.009,0.002,1.26E-06,-++------
18,66381506,cg22224628,CCDC102B;TMX3,TMX3       ,TSS1500;Body,-0.005,0.001,1.26E-06,------+--
14,55647471,cg23678254,DLGAP5,DLGAP5      ,Body;Body,0.012,0.003,1.26E-06,+++++++++
20,62682309,cg21721340,SOX18,SOX18      ,TSS1500,-0.009,0.002,1.28E-06,---+-----
7,45041140,cg23220823,CCM2,OSM       ,Body;Body;Body;Body,-0.012,0.002,1.28E-06,---------
3,159557779,cg00188627,SCHIP1,IQCJ-SCHIP1   ,Body,0.012,0.003,1.31E-06,+++++++++
11,65191531,cg16884222,NEAT1,NEAT1      ,Body,-0.008,0.002,1.31E-06,-+-------
17,8114504,cg17365525,AURKB,AURKB      ,TSS1500,0.009,0.002,1.31E-06,++-++++++
3,111697479,cg22488352,ABHD10,ABHD10      ,TSS1500,0.011,0.002,1.31E-06,+++++++++
17,7381622,cg27579313,ZBTB4,ZBTB4      ,5'UTR;5'UTR,-0.01,0.002,1.31E-06,---+-----
10,63213510,cg05499367,TMEM26,TMEM26      ,TSS1500,0.009,0.002,1.33E-06,++-++++++
22,41810665,cg01928418,,TEF       ,,-0.004,0.001,1.34E-06,---------
10,88555339,cg08626436,BMPR1A,BMPR1A      ,5'UTR,0.018,0.004,1.34E-06,++++++?+?
17,40075879,cg19443920,ACLY,ACLY       ,TSS1500;TSS1500,0.006,0.001,1.34E-06,++++++-++
17,26577877,cg12765382,,PPY2       ,,-0.004,0.001,1.35E-06,--?------
9,130706683,cg13707943,FAM102A,FAM102A     ,Body;Body,-0.006,0.001,1.35E-06,--+------
2,172944393,cg03654166,MAP1D,METAP1D     ,Body,0.007,0.001,1.36E-06,+++-+++++
20,62338273,cg04078896,ZGPAT;ARFRP1,ARFRP1      ,TSS1500;TSS1500;TSS1500;Body;Body,-0.003,0.001,1.37E-06,---------
2,152830614,cg06686709,CACNB4,CACNB4      ,Body;Body;Body;TSS200,0.006,0.001,1.37E-06,+-++++-++
8,121186838,cg24495681,COL14A1,COL14A1     ,Body,0.004,0.001,1.37E-06,+-++++-+-
12,113550113,cg07140497,RASAL1,RASAL1      ,Body,0.011,0.002,1.38E-06,++?++++++
6,144386515,cg10254692,PLAGL1,PLAGL1      ,TSS1500;TSS1500,0.007,0.002,1.38E-06,+++++++++
4,81117665,cg00138041,PRDM8,PRDM8      ,TSS1500;5'UTR,-0.021,0.004,1.39E-06,------+--
19,58715577,cg00298065,ZNF274,ZNF274      ,Body;Body;5'UTR,0.006,0.001,1.39E-06,+++++++++
15,59907427,cg25311764,GCNT3,GCNT3      ,5'UTR,0.008,0.002,1.39E-06,+++++++++
2,23726440,cg25560443,KLHL29,KLHL29      ,5'UTR,-0.008,0.002,1.39E-06,+----+---
17,8114512,cg26183021,AURKB,AURKB      ,TSS1500,0.007,0.001,1.39E-06,+++++++++
7,1035418,cg01705036,,C7orf50     ,,-0.006,0.001,1.40E-06,-----+---
17,81032067,cg25162533,,METRNL      ,,-0.011,0.002,1.40E-06,---------
10,34011175,cg24766327,,PARD3      ,,0.006,0.001,1.41E-06,++++++++-
5,134827820,cg25383593,,TIFAB      ,,0.005,0.001,1.41E-06,+++++++++
16,30106682,cg26709300,YPEL3,YPEL3      ,1stExon;Body,-0.008,0.002,1.41E-06,------+--
6,152130207,cg15626350,ESR1,ESR1       ,Body;Body;Body;Body,-0.018,0.004,1.42E-06,-+----+--
16,4516078,cg01850135,NMRAL1,NMRAL1      ,Body,-0.01,0.002,1.44E-06,--------+
22,38610795,cg15548613,MAFF,MAFF       ,Body;Body;Body;Body,0.004,0.001,1.44E-06,-++++++++
4,15965016,cg19712821,FGFBP2,FGFBP2      ,TSS200,-0.003,0.001,1.44E-06,-----+---
1,159825595,cg24035898,VSIG8;C1orf204,VSIG8      ,Body;TSS1500,0.008,0.002,1.44E-06,-++++++++
6,31804078,cg13541527,C6orf48;SNORD52,C6orf48     ,5'UTR;5'UTR;TSS1500,-0.011,0.002,1.46E-06,----++---
9,5450936,cg19724470,CD274,CD274      ,5'UTR,0.009,0.002,1.46E-06,+++++++++
1,43422920,cg05802386,SLC2A1,SLC2A1      ,Body,-0.007,0.002,1.47E-06,---------
1,46972736,cg08032971,DMBX1,DMBX1      ,1stExon;1stExon,0.008,0.002,1.49E-06,+++++++++
19,23387133,cg22885014,,ZNF91      ,,0.007,0.001,1.49E-06,+++++++++
6,41374939,cg26576890,,NCR2       ,,0.009,0.002,1.49E-06,++++++-++
17,80541649,cg24220178,FOXK2,FOXK2      ,Body,-0.015,0.003,1.50E-06,--+------
6,32120895,cg17113856,PPT2;PRRT1,LOC100507547   ,TSS1500;TSS1500;TSS1500,0.012,0.002,1.51E-06,-++++++++
4,48493846,cg19133933,ZAR1,ZAR1       ,Body,0.005,0.001,1.51E-06,+-+++++++
9,139258524,cg00853853,CARD9;DNLZ,CARD9      ,3'UTR;3'UTR;TSS1500,0.005,0.001,1.52E-06,++++++-++
6,32967930,cg10296973,,HLA-DOA     ,,0.01,0.002,1.52E-06,++-++++++
6,32918967,cg13852084,HLA-DMA,HLA-DMA     ,Body,-0.006,0.001,1.54E-06,------+--
11,125366590,cg19433435,FEZ1,FEZ1       ,TSS1500;TSS1500,0.009,0.002,1.54E-06,+++++++++
15,68549178,cg22952142,,FEM1B      ,,0.013,0.003,1.54E-06,+++++++++
2,233246594,cg19713851,ALPP,ALPP       ,3'UTR,0.012,0.002,1.56E-06,++??+++++
2,38334178,cg02486145,,CYP1B1-AS1    ,,0.013,0.003,1.57E-06,+++++++++
17,75373040,cg09481866,09-Sep,09-Sep,5'UTR;5'UTR;Body;Body;Body,-0.004,0.001,1.57E-06,--+------
9,3180869,cg14330585,,RFX3       ,,0.009,0.002,1.57E-06,+++++++++
13,114871497,cg13121938,RASA3,RASA3      ,Body,-0.006,0.001,1.58E-06,+--------
1,27855045,cg26785800,,AHDC1      ,,0.007,0.001,1.59E-06,+++-+++++
6,166251659,cg00121876,,LINC00473    ,,-0.015,0.003,1.60E-06,------+-+
10,729846,cg10064922,DIP2C,DIP2C      ,Body,0.006,0.001,1.60E-06,+++-+++++
10,94165278,cg17546623,,IDE       ,,0.007,0.002,1.60E-06,++++++-++
15,65843003,cg19257111,PTPLAD1,PTPLAD1     ,Body,-0.011,0.002,1.60E-06,---------
17,27396961,cg01970040,,MYO18A      ,,0.014,0.003,1.61E-06,+++-+++++
20,19193824,cg00888479,SLC24A3,SLC24A3     ,Body,-0.003,0.001,1.62E-06,---------
9,139156255,cg14397120,,QSOX2      ,,-0.005,0.001,1.62E-06,-----+---
2,26205876,cg21187770,KIF3C,KIF3C      ,TSS1500,0.006,0.001,1.62E-06,++++++-++
17,56356963,cg02668773,MPO,MPO       ,Body,0.007,0.002,1.64E-06,+++++++++
17,63554536,cg11122009,AXIN2,AXIN2      ,Body,-0.01,0.002,1.64E-06,--------+
20,44827392,cg13584095,CDH22,CDH22      ,Body,0.005,0.001,1.65E-06,++++++-++
4,159094213,cg03450635,FAM198B,FAM198B     ,TSS200;TSS1500;TSS200,-0.008,0.002,1.66E-06,+----+---
16,303182,cg05849772,ITFG3,ITFG3      ,5'UTR,-0.01,0.002,1.66E-06,---------
11,120434710,cg09221960,,ARHGEF12     ,,0.007,0.001,1.67E-06,++++++-++
16,3115809,cg00471190,IL32,IL32       ,5'UTR;1stExon;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,-0.01,0.002,1.68E-06,---------
11,1969496,cg12921275,MRPL23,RPL23      ,Body,-0.003,0.001,1.68E-06,-+-------
1,43152179,cg15557459,YBX1,YBX1       ,Body,-0.007,0.002,1.68E-06,-----+---
6,41650636,cg00049595,,TFEB       ,,0.012,0.003,1.69E-06,++++++-++
20,18485171,cg05373875,,SEC23B      ,,0.009,0.002,1.70E-06,+++++++++
8,81523903,cg05453820,,ZNF704      ,,0.006,0.001,1.70E-06,-++++++++
3,99979421,cg09826188,TBC1D23,TBC1D23     ,TSS1500,0.004,0.001,1.70E-06,++++++-++
20,6104267,cg15692360,FERMT1,FERMT1      ,TSS200,0.008,0.002,1.70E-06,+++++++++
3,15139756,cg22257374,ZFYVE20,RBSN       ,5'UTR,-0.004,0.001,1.70E-06,-+-------
11,3174128,cg26073542,OSBPL5,OSBPL5      ,5'UTR;5'UTR;5'UTR,0.005,0.001,1.70E-06,+++++++++
4,81110205,cg09595050,PRDM8,PRDM8      ,5'UTR,-0.018,0.004,1.71E-06,---------
